Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Форель свежая;148;20600;6800;0;0.12;0.10;   .30;0.40;0;0.004;0.030;02.   ;0.015;   .34;0.0004;43;270;28;0.7;0.02;481;52;0.66;0.025;0.25;0.08;0;0.03;1000;220;0;0;100;72
Лосось;206;20000;13000;0;0.23;0.38;   .80;0.62;0;0.003;0.045;0;0.013;   .80;0.0005;15;260;29;0.8;0.05;363;59;0.64;0.036;0.25;0.02;0;0.03;2500;340;0;0;150;62
Баранина;294;25000;21000;0;0.11;0.25;   .70;0.13;0;0.002;0.003;0;0.001;0.50;0.0003;10;190;25;02.   ;0.007;310;72;   .42;0.026;0.11;0.02;0;0.02;500;1500;0;0;70;60
Говядина;250;26000;17000;0;0.07;0.18;5.00;0.37;0;0.002;0.003;0;0.001;0.50;0.0003;12;200;22;02.   ;0.007;350;65;   .24;0.014;0.08;0.01;0;0.02;200;1200;0;0;60;65
Говяжья печень;135;20000;3500;3900;0.30;   .50;13.0;1.00;0.09;0.083;9.800;01.   ;0.001;0.53;0.003;6;476;21;06.   ;0.063;313;87;4.00;0.040;12.0;0.34;0.033;0.02;70;320;0;0;30;73
Говяжий язык;231;16000;17000;0;0.12;0.30;   .80;0.15;0;0.004;0.002;0;0.001;0.40;0.0001;8;224;19;02.   ;0.009;184;93;03.   ;0.015;0.07;0.01;0;0.01;50;200;0;0;80;68
Индейка;189;29000;7000;0;0.05;0.22;8.00;0.56;0;0.003;0.012;0;0.001;0.30;0.0002;14;210;27;01.   ;0.013;296;49;   .20;0.036;0.10;0.01;0;0.02;200;1500;0;0;50;70
Кролик;173;33000;6000;0;0.10;0.18;   .20;0.48;0;0.005;0.010;0;0.001;0.50;0.0001;20;240;25;01.   ;0.005;330;57;   .30;0.015;0.18;0.01;0;0.02;300;1000;0;0;70;71
Гусь;371;15800;33000;0;0.10;0.25;   .30;0.47;0;0.004;0.012;0;0.001;0.70;0.0002;15;270;25;02.   ;0.003;388;87;   .60;0.023;0.18;0.01;0;0.02;200;2500;0;0;50;56
Курица (грудка);165;31000;3600;0;0.07;0.13;   .60;0.50;0;0.003;0.008;0;0.001;0.30;0.0002;15;220;28;0.9;0.007;256;74;1.00;0.028;0.04;0.01;0;0.02;70;600;0;0;30;73
Куриная печень;136;19600;5800;1400;0.50;   .67;13.   ;0.85;0.15;0.0166;4.000;27.0;0.001;0.70;0.013;8;297;24;12.0;0.013;315;81;4.00;0.055;0.49;0.35;0.009;0.03;100;2000;0;0;20;72
Куриные сердечки;153;15600;9600;0.6;0.26;01.   ;   .30;0.56;0;0.002;0.030;03.   ;0;0.20;0.0001;10;178;20;05.   ;0.004;179;67;   .53;0.040;0.22;0.04;0;0.01;50;900;0;0;20;75
Свинина (вырезка);242;27000;14000;0;0.87;0.22;04.   ;0.46;0;0.001;0.002;0.6;0.001;0.40;0.0001;8;230;23;01.   ;0.003;423;62;2.00;0.045;0.07;0.01;0;0.02;100;1200;0;0;50;60
Сердце свиное;118;17500;4800;0;0.50;   .20;   .70;0.35;0;0.003;0.001;1.0;0;0.20;0.0001;5;178;20;04.   ;0.003;260;93;   .30;0.040;0.40;0.03;0;0.01;60;800;0;0;20;76
Утка;337;18700;28700;0;0.25;0.47;   .80;0.30;0;0.004;0.024;0;0.001;0.70;0.0003;15;230;20;02.   ;0.005;271;74;   .90;0.025;0.25;0.02;0;0.02;500;3000;0;0;50;50
Язык свиной;225;16000;17000;0;0.15;0.36;4.00;0.15;0;0.003;0.001;0;0.001;0.40;0.0001;10;200;20;02.   ;0.002;185;93;   .50;0.020;0.08;0.01;0;0.01;50;1500;0;0;40;68
Брынза;260;18000;21000;0;0.06;0.50;0.20;0.08;0;0.001;0.180;0;0.0003;0.30;0.002;630;380;28;0.5;0.003;95;1200;4.00;0.015;0.03;0.03;0;0.02;50;500;0;0;62;55
Йогурт греческий;59;10000;3500;3700;0.03;0.14;0.20;0.06;0;0.0004;0.010;0.5;0;0.08;0.0001;110;150;11;0.1;0.004;141;36;0.52;0.009;0.02;0.01;0;0.01;20;80;0;0;45;85
Кефир 3.2%;64;3200;3200;4200;0.04;0.18;0.10;0.05;0;0.0003;0.028;0;0.0001;0.07;0.001;120;95;12;0.1;0.003;150;50;0.40;0.005;0.01;0.01;0;0.01;10;50;0;0;6;90
Молоко 3.2%;60;3200;3200;4700;0.04;0.18;0.10;0.05;0;0.0004;0.028;0;0.0001;0.07;0.001;120;95;12;0.1;0.003;150;50;0.40;0.005;0.01;0.01;0;0.01;10;50;0;0;6;88
Сыр российский (50%);363;23000;29000;0;0.03;0.45;0.60;0.10;0;0.001;0.260;0;0.0006;0.60;0.002;880;540;35;0.6;0.005;88;1300;18323;0.020;0.03;0.02;0;0.03;80;600;0;0;86;41
Творог 5%;121;16000;5000;3200;0.04;0.27;0.40;0.08;0;0.0005;0.010;0;0;0.09;0.0003;120;180;23;0.3;0.003;112;44;0.50;0.010;0.02;0.01;0;0.01;20;100;0;0;32;77
Булгур;342;12200;1500;75700;0.23;0.12;45935;0.34;0;0;0;0;0;0.06;0.001;35;300;164;45779;0.004;410;17;33970;0.002;0.33;45780;0;0.01;30;2000;0;12500;18;10
Гречневая крупа;343;13000;3400;71800;0.58;0.43;44013;0.40;0;0;0;0;0;0.32;0.007;31;347;258;45690;0.003;460;11;14642;0.008;45931;10959;0;0.02;70;2300;0;10000;25;12
Овсянка;389;16900;6900;66200;0.76;0.14;43831;0.12;0;0;0;0;0;0.70;0.003;54;523;177;45842;0.004;429;2;35490;0.034;0.62;33695;0;0.03;110;2400;0;10800;12;8
Миндаль;579;21200;49900;21600;0.21;41640;22706;0.14;0;0;0;0;0;45714;0.007;269;481;270;45841;0.002;733;1;45994;0.004;45717;43132;0;0.02;6;12000;0;11200;120;5
Масло оливковое;884;0;100000;0;0;0;0;0;0;0;0;0;0;45730;0.060;1;2;1;0.6;0;1;2;0;0;0;0;0;0;760;9900;0;0;150;0
Шоколад горький 77%;598;7800;42300;45900;0.03;0.07;45778;0.03;0;0;0;0;0;0.59;0.008;73;308;228;45911;0.003;715;20;11383;0.006;28126;34700;0;0.02;30;450;0;11000;85;1
Молоко сгущеное с сахаром;321;7800;8700;54400;0.09;0.42;0.21;0.04;0;0.0004;0.055;45689;0.0001;0.20;0.0002;284;253;26;0.19;0.002;371;127;0.76;0.004;0.02;0.01;0;0.02;10;50;0;0;32;27
Ряженка 2.5%;67;3300;2500;4400;0.04;0.18;0.10;0.05;0;0.0004;0.022;0;0.0001;0.07;0.001;124;96;12;0.1;0.003;151;51;0.40;0.005;0.01;0.01;0;0.01;10;50;0;0;7;87
Сливки 10%;118;2800;10000;4100;0.03;0.14;0.10;0.03;0;0.0002;0.035;0.6;0.0001;0.25;0.0003;90;83;10;0.1;0.002;132;40;0.30;0.003;0.01;0.01;0;0.01;20;100;0;0;12;82
